Geometric Albedo

Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich-silicate	Fe-oxidized	
micron			

3.000000e-01	4.041302e-02	1.430157e-01	3.146426e-01	8.539959e-02	3.678677e-01	2.025172e-01	2.076205e-01	1.047863e-01	
3.026708e-01	4.096946e-02	1.445270e-01	3.203427e-01	9.216037e-02	3.760601e-01	2.071653e-01	2.128871e-01	1.079277e-01	
3.053655e-01	4.152653e-02	1.460460e-01	3.262518e-01	9.903031e-02	3.847155e-01	2.119184e-01	2.182923e-01	1.110950e-01	
3.080841e-01	4.309471e-02	1.475261e-01	3.322902e-01	1.061551e-01	3.928682e-01	2.203342e-01	2.238467e-01	1.144631e-01	
3.108269e-01	4.362300e-02	1.497550e-01	3.381821e-01	1.129670e-01	3.999390e-01	2.243350e-01	2.292090e-01	1.179505e-01	
3.135941e-01	4.391423e-02	1.526505e-01	3.439394e-01	1.193312e-01	4.065644e-01	2.281345e-01	2.342661e-01	1.213672e-01	
3.163860e-01	4.574694e-02	1.561127e-01	3.496562e-01	1.251097e-01	4.138448e-01	2.403781e-01	2.388966e-01	1.244228e-01	
3.192027e-01	4.884501e-02	1.601951e-01	3.552451e-01	1.302898e-01	4.186886e-01	2.493533e-01	2.430784e-01	1.267252e-01	
3.220445e-01	5.107114e-02	1.648131e-01	3.606215e-01	1.351139e-01	4.227826e-01	2.558178e-01	2.469992e-01	1.283372e-01	
3.249116e-01	5.076372e-02	1.700795e-01	3.656053e-01	1.395914e-01	4.271565e-01	2.602764e-01	2.506610e-01	1.290848e-01	
3.278043e-01	5.123475e-02	1.752949e-01	3.699873e-01	1.433915e-01	4.311823e-01	2.679065e-01	2.537852e-01	1.300699e-01	
3.307227e-01	5.180940e-02	1.817716e-01	3.743160e-01	1.469893e-01	4.345244e-01	2.716743e-01	2.567568e-01	1.308724e-01	
3.336670e-01	5.246078e-02	1.894292e-01	3.787428e-01	1.504253e-01	4.373170e-01	2.735664e-01	2.596073e-01	1.314793e-01	
3.366376e-01	5.341339e-02	1.978173e-01	3.834921e-01	1.535749e-01	4.399670e-01	2.820091e-01	2.622306e-01	1.319810e-01	
3.396346e-01	5.243298e-02	2.062104e-01	3.883466e-01	1.565462e-01	4.423284e-01	2.923895e-01	2.647139e-01	1.328410e-01	
3.426583e-01	5.363153e-02	2.142920e-01	3.929068e-01	1.595494e-01	4.450668e-01	2.962043e-01	2.672324e-01	1.343523e-01	
3.457090e-01	5.620111e-02	2.224318e-01	3.970617e-01	1.625483e-01	4.477153e-01	2.956988e-01	2.697563e-01	1.361842e-01	
3.487867e-01	5.460551e-02	2.319232e-01	4.007946e-01	1.652817e-01	4.483323e-01	3.043777e-01	2.720637e-01	1.370743e-01	
3.518919e-01	5.761099e-02	2.418875e-01	4.044716e-01	1.678685e-01	4.547612e-01	3.109165e-01	2.742533e-01	1.379903e-01	
3.550248e-01	5.888749e-02	2.517685e-01	4.082127e-01	1.702726e-01	4.582528e-01	3.183090e-01	2.762940e-01	1.390560e-01	
3.581855e-01	5.892050e-02	2.613160e-01	4.120386e-01	1.725134e-01	4.595079e-01	3.255467e-01	2.782002e-01	1.402994e-01	
3.613743e-01	5.877121e-02	2.698355e-01	4.159208e-01	1.746789e-01	4.608357e-01	3.303723e-01	2.800459e-01	1.417513e-01	
3.645916e-01	5.797268e-02	2.770808e-01	4.197216e-01	1.768828e-01	4.621013e-01	3.338630e-01	2.819286e-01	1.432483e-01	
3.678375e-01	5.816073e-02	2.844067e-01	4.233643e-01	1.789051e-01	4.631722e-01	3.398212e-01	2.836601e-01	1.445274e-01	
3.711123e-01	5.840109e-02	2.910925e-01	4.269839e-01	1.805870e-01	4.635693e-01	3.469883e-01	2.851018e-01	1.458378e-01	
3.744162e-01	5.865766e-02	2.968101e-01	4.306323e-01	1.819176e-01	4.685789e-01	3.536409e-01	2.862445e-01	1.473081e-01	
3.777496e-01	5.869191e-02	3.025113e-01	4.339286e-01	1.830057e-01	4.663683e-01	3.578974e-01	2.871801e-01	1.484873e-01	
3.811126e-01	5.851213e-02	3.075377e-01	4.370673e-01	1.840437e-01	4.648641e-01	3.625742e-01	2.880738e-01	1.495851e-01	
3.845056e-01	5.889755e-02	3.116671e-01	4.402167e-01	1.852147e-01	4.670176e-01	3.662484e-01	2.890819e-01	1.507795e-01	
3.879288e-01	5.799259e-02	3.161019e-01	4.432379e-01	1.871913e-01	4.694846e-01	3.706572e-01	2.907865e-01	1.520939e-01	
3.913824e-01	5.826026e-02	3.206666e-01	4.463350e-01	1.891466e-01	4.714170e-01	3.770971e-01	2.924752e-01	1.534747e-01	
3.948669e-01	5.793287e-02	3.251707e-01	4.494052e-01	1.907887e-01	4.729626e-01	3.839624e-01	2.938955e-01	1.548185e-01	
3.983823e-01	5.842586e-02	3.293365e-01	4.516563e-01	1.922601e-01	4.737742e-01	3.913138e-01	2.951699e-01	1.557525e-01	
4.019290e-01	5.920239e-02	3.340709e-01	4.539902e-01	1.937794e-01	4.746165e-01	3.929253e-01	2.964871e-01	1.567012e-01	
4.055073e-01	5.925507e-02	3.393459e-01	4.565932e-01	1.952748e-01	4.757426e-01	3.946245e-01	2.977852e-01	1.579704e-01	
4.091175e-01	5.995992e-02	3.443779e-01	4.591428e-01	1.964438e-01	4.768779e-01	3.956593e-01	2.988013e-01	1.597065e-01	
4.127598e-01	6.017898e-02	3.487073e-01	4.611701e-01	1.974642e-01	4.780660e-01	3.962194e-01	2.996880e-01	1.599885e-01	
4.164345e-01	6.044576e-02	3.521797e-01	4.627971e-01	1.983698e-01	4.788917e-01	3.968383e-01	3.004764e-01	1.597806e-01	
4.201419e-01	6.087250e-02	3.545107e-01	4.642526e-01	1.992127e-01	4.796679e-01	3.977642e-01	3.012112e-01	1.602029e-01	
4.238824e-01	6.108965e-02	3.560392e-01	4.658000e-01	2.001273e-01	4.804499e-01	3.989405e-01	3.020077e-01	1.607619e-01	
4.276561e-01	6.155182e-02	3.570906e-01	4.670522e-01	2.006075e-01	4.812396e-01	3.986303e-01	3.024269e-01	1.609991e-01	
4.314635e-01	6.260010e-02	3.582946e-01	4.680981e-01	2.010078e-01	4.820363e-01	3.982313e-01	3.027762e-01	1.610932e-01	
4.353047e-01	6.348000e-02	3.599893e-01	4.690540e-01	2.016050e-01	4.828367e-01	3.998688e-01	3.032972e-01	1.613264e-01	
4.391802e-01	6.370429e-02	3.616190e-01	4.700622e-01	2.020494e-01	4.836459e-01	4.015442e-01	3.036850e-01	1.616964e-01	
4.430901e-01	6.426698e-02	3.621551e-01	4.713452e-01	2.022325e-01	4.843650e-01	4.051677e-01	3.038458e-01	1.611293e-01	
